Zeit,Date,Time,max_power,alignment,roof_pitch,power,Netz(W),Batterie(W),Gesamtverbrauch(W),temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-07-19 00:00:00,2024-07-19,00:00:00,6000,160,30,0,4,124,128,25.0,21.1,79.0,0.0,,200.0,7.6,,1015.9,,7.0
2024-07-19 01:00:00,2024-07-19,01:00:00,6000,160,30,0,0,121,121,24.4,20.5,79.0,0.0,,200.0,9.4,,1016.7,,7.0
2024-07-19 02:00:00,2024-07-19,02:00:00,6000,160,30,0,0,102,102,23.9,21.0,84.0,0.0,,230.0,11.2,,1016.8,,7.0
2024-07-19 03:00:00,2024-07-19,03:00:00,6000,160,30,0,0,144,144,23.9,21.0,84.0,0.0,,230.0,11.2,,1016.8,,3.0
2024-07-19 04:00:00,2024-07-19,04:00:00,6000,160,30,0,0,99,99,23.9,21.0,84.0,0.0,,300.0,9.4,,1016.8,,2.0
2024-07-19 05:00:00,2024-07-19,05:00:00,6000,160,30,0,0,60,60,23.9,21.0,84.0,0.0,,0.0,0.0,,1016.4,,3.0
2024-07-19 06:00:00,2024-07-19,06:00:00,6000,160,30,0,486,0,486,22.8,21.1,90.0,0.0,,210.0,5.4,,1016.0,,3.0
2024-07-19 07:00:00,2024-07-19,07:00:00,6000,160,30,72,56,0,128,22.8,21.1,90.0,0.0,,190.0,7.6,,1016.1,,3.0
2024-07-19 08:00:00,2024-07-19,08:00:00,6000,160,30,121,-24,0,97,22.8,21.1,90.0,0.0,,190.0,7.6,,1016.1,,3.0
2024-07-19 09:00:00,2024-07-19,09:00:00,6000,160,30,331,2,-240,93,22.8,20.5,87.0,0.0,,250.0,11.2,,1016.5,,3.0
2024-07-19 10:00:00,2024-07-19,10:00:00,6000,160,30,1076,3,-937,142,22.8,20.5,87.0,0.0,,250.0,7.6,,1017.2,,3.0
2024-07-19 11:00:00,2024-07-19,11:00:00,6000,160,30,1151,-62,-767,322,23.3,20.6,85.0,0.0,,280.0,7.6,,1017.5,,3.0
2024-07-19 12:00:00,2024-07-19,12:00:00,6000,160,30,1391,-60,-979,352,24.4,21.1,82.0,0.0,,300.0,9.4,,1018.1,,3.0
2024-07-19 13:00:00,2024-07-19,13:00:00,6000,160,30,1580,68,-1375,273,24.4,21.1,82.0,0.0,,300.0,9.4,,1018.1,,3.0
2024-07-19 14:00:00,2024-07-19,14:00:00,6000,160,30,1987,-1400,0,587,26.1,20.7,72.0,0.0,,0.0,0.0,,1018.5,,3.0
2024-07-19 15:00:00,2024-07-19,15:00:00,6000,160,30,1366,-750,0,616,26.7,20.5,69.0,0.0,,310.0,5.4,,1018.6,,3.0
2024-07-19 16:00:00,2024-07-19,16:00:00,6000,160,30,906,-332,0,574,27.2,21.0,69.0,0.0,,150.0,5.4,,1018.7,,8.0
2024-07-19 17:00:00,2024-07-19,17:00:00,6000,160,30,644,-1,1997,2640,27.2,21.0,69.0,0.0,,150.0,5.4,,1018.7,,8.0
2024-07-19 18:00:00,2024-07-19,18:00:00,6000,160,30,555,3,-163,395,28.3,21.1,65.0,0.0,,190.0,11.2,,1017.3,,18.0
2024-07-19 19:00:00,2024-07-19,19:00:00,6000,160,30,230,-1,0,229,29.4,21.1,61.0,0.0,,260.0,11.2,,1016.9,,8.0
2024-07-19 20:00:00,2024-07-19,20:00:00,6000,160,30,179,0,290,469,30.0,20.6,57.0,0.0,,230.0,9.4,,1016.4,,8.0
2024-07-19 21:00:00,2024-07-19,21:00:00,6000,160,30,0,2,684,686,28.9,21.7,65.0,0.0,,200.0,14.8,,1016.4,,8.0
2024-07-19 22:00:00,2024-07-19,22:00:00,6000,160,30,0,0,606,606,28.9,21.7,65.0,7.5,,200.0,14.8,,1016.4,,7.0
2024-07-19 23:00:00,2024-07-19,23:00:00,6000,160,30,0,0,778,778,27.8,22.3,72.0,0.0,,0.0,0.0,,1017.2,,7.0
2024-07-20 00:00:00,2024-07-20,00:00:00,6000,160,30,0,593,0,593,23.3,21.7,91.0,0.6,,0.0,0.0,,1018.0,,8.0
2024-07-20 01:00:00,2024-07-20,01:00:00,6000,160,30,0,746,0,746,23.9,21.0,84.0,6.4,,90.0,9.4,,1018.6,,7.0
2024-07-20 02:00:00,2024-07-20,02:00:00,6000,160,30,0,500,0,500,23.3,21.7,91.0,0.6,,50.0,13.0,,1018.9,,7.0
2024-07-20 03:00:00,2024-07-20,03:00:00,6000,160,30,0,313,0,313,23.3,21.7,91.0,1.5,,50.0,13.0,,1018.9,,7.0
2024-07-20 04:00:00,2024-07-20,04:00:00,6000,160,30,0,186,0,186,22.8,21.1,90.0,1.5,,90.0,11.2,,1019.1,,7.0
2024-07-20 05:00:00,2024-07-20,05:00:00,6000,160,30,0,181,0,181,22.8,21.1,90.0,0.5,,0.0,0.0,,1018.9,,7.0
2024-07-20 06:00:00,2024-07-20,06:00:00,6000,160,30,0,305,0,305,22.8,21.1,90.0,0.0,,0.0,0.0,,1018.9,,7.0
2024-07-20 07:00:00,2024-07-20,07:00:00,6000,160,30,15,148,0,163,22.2,21.2,94.0,3.8,,0.0,0.0,,1018.1,,7.0
2024-07-20 08:00:00,2024-07-20,08:00:00,6000,160,30,77,2363,0,2440,22.8,21.1,90.0,10.4,,330.0,7.6,,1018.2,,8.0
2024-07-20 09:00:00,2024-07-20,09:00:00,6000,160,30,403,30,0,433,22.2,20.7,91.0,0.3,,140.0,9.4,,1018.5,,8.0
2024-07-20 10:00:00,2024-07-20,10:00:00,6000,160,30,985,1,-914,72,21.7,20.0,90.0,20.8,,200.0,5.4,,1018.8,,4.0
2024-07-20 11:00:00,2024-07-20,11:00:00,6000,160,30,1497,5,-1180,322,21.7,20.7,94.0,0.0,,140.0,5.4,,1019.2,,4.0
2024-07-20 12:00:00,2024-07-20,12:00:00,6000,160,30,1865,-19,-677,1169,22.8,21.1,90.0,0.0,,0.0,0.0,,1019.5,,4.0
2024-07-20 13:00:00,2024-07-20,13:00:00,6000,160,30,2331,17,-1148,1200,22.8,21.1,90.0,0.0,,0.0,0.0,,1019.5,,4.0
2024-07-20 14:00:00,2024-07-20,14:00:00,6000,160,30,2759,7,-2305,461,24.4,22.3,88.0,0.0,,180.0,7.6,,1020.0,,4.0
2024-07-20 15:00:00,2024-07-20,15:00:00,6000,160,30,2665,-2064,0,601,25.6,22.9,85.0,0.0,,200.0,11.2,,1020.3,,4.0
2024-07-20 16:00:00,2024-07-20,16:00:00,6000,160,30,2259,-2077,0,182,25.6,22.9,85.0,0.0,,200.0,11.2,,1020.3,,7.0
2024-07-20 17:00:00,2024-07-20,17:00:00,6000,160,30,1903,-1729,0,174,27.8,22.7,74.0,0.1,,190.0,5.4,,1019.3,,3.0
2024-07-20 18:00:00,2024-07-20,18:00:00,6000,160,30,1544,-1121,0,423,27.8,21.8,70.0,0.0,,210.0,13.0,,1018.4,,3.0
2024-07-20 19:00:00,2024-07-20,19:00:00,6000,160,30,340,6,2979,3325,27.8,22.7,74.0,0.1,,190.0,11.2,,1018.4,,7.0
2024-07-20 20:00:00,2024-07-20,20:00:00,6000,160,30,104,0,1139,1243,27.8,22.7,74.0,0.0,,200.0,14.8,,1017.7,,8.0
2024-07-20 21:00:00,2024-07-20,21:00:00,6000,160,30,0,4,935,939,27.8,22.7,74.0,0.0,,200.0,14.8,,1017.7,,8.0
2024-07-20 22:00:00,2024-07-20,22:00:00,6000,160,30,0,-8,957,949,27.2,22.8,77.0,0.0,,180.0,11.2,,1017.8,,18.0
2024-07-20 23:00:00,2024-07-20,23:00:00,6000,160,30,0,-7,178,171,26.7,22.1,76.0,0.0,,190.0,9.4,,1017.1,,18.0
2024-07-21 00:00:00,2024-07-21,00:00:00,6000,160,30,0,14,241,255,26.1,22.2,79.0,0.0,,170.0,9.4,,1017.8,,7.0
2024-07-21 01:00:00,2024-07-21,01:00:00,6000,160,30,0,0,60,60,25.6,22.3,82.0,0.0,,180.0,7.6,,1018.8,,7.0
2024-07-21 02:00:00,2024-07-21,02:00:00,6000,160,30,0,141,0,141,25.0,22.3,85.0,0.0,,150.0,7.6,,1018.8,,7.0
2024-07-21 03:00:00,2024-07-21,03:00:00,6000,160,30,0,183,0,183,25.0,22.3,85.0,0.0,,150.0,7.6,,1018.8,,3.0
2024-07-21 04:00:00,2024-07-21,04:00:00,6000,160,30,0,211,0,211,24.4,22.3,88.0,0.0,,180.0,11.2,,1018.2,,7.0
2024-07-21 05:00:00,2024-07-21,05:00:00,6000,160,30,0,394,0,394,24.4,22.3,88.0,0.0,,180.0,11.2,,1018.2,,3.0
2024-07-21 06:00:00,2024-07-21,06:00:00,6000,160,30,0,448,0,448,23.9,21.8,88.0,0.0,,170.0,9.4,,1018.2,,4.0
2024-07-21 07:00:00,2024-07-21,07:00:00,6000,160,30,30,346,0,376,23.3,22.3,94.0,0.0,,200.0,13.0,,1017.9,,4.0
2024-07-21 08:00:00,2024-07-21,08:00:00,6000,160,30,92,634,0,726,23.3,22.3,94.0,0.0,,210.0,11.2,,1017.3,,3.0
2024-07-21 09:00:00,2024-07-21,09:00:00,6000,160,30,300,-3,-219,78,23.3,22.3,94.0,0.0,,190.0,9.4,,1017.5,,4.0
2024-07-21 10:00:00,2024-07-21,10:00:00,6000,160,30,949,1,-677,273,23.9,22.2,90.0,0.0,,200.0,9.4,,1018.0,,5.0
2024-07-21 11:00:00,2024-07-21,11:00:00,6000,160,30,420,-27,0,393,23.9,22.2,90.0,0.0,,210.0,7.6,,1018.2,,4.0
2024-07-21 12:00:00,2024-07-21,12:00:00,6000,160,30,789,0,1847,2636,23.9,22.2,90.0,0.3,,210.0,7.6,,1018.2,,4.0
2024-07-21 13:00:00,2024-07-21,13:00:00,6000,160,30,683,2,-92,593,25.6,22.9,85.0,0.0,,220.0,11.2,,1018.3,,4.0
2024-07-21 14:00:00,2024-07-21,14:00:00,6000,160,30,590,-4,418,1004,26.1,22.8,82.0,0.0,,200.0,11.2,,1018.2,,3.0
2024-07-21 15:00:00,2024-07-21,15:00:00,6000,160,30,585,-96,0,489,28.3,22.8,72.0,0.0,,200.0,13.0,,1018.0,,3.0
2024-07-21 16:00:00,2024-07-21,16:00:00,6000,160,30,2518,29,-2364,183,27.8,22.3,72.0,0.0,,320.0,9.4,,1017.6,,7.0
2024-07-21 17:00:00,2024-07-21,17:00:00,6000,160,30,644,-28,0,616,27.8,22.3,72.0,0.0,,320.0,9.4,,1017.6,,7.0
2024-07-21 18:00:00,2024-07-21,18:00:00,6000,160,30,1624,-8,-930,686,30.6,21.7,59.0,0.0,,210.0,5.4,,1016.3,,7.0
2024-07-21 19:00:00,2024-07-21,19:00:00,6000,160,30,218,0,1602,1820,30.0,21.7,61.0,0.0,,210.0,7.6,,1015.7,,7.0
2024-07-21 20:00:00,2024-07-21,20:00:00,6000,160,30,28,1,154,183,28.9,22.9,70.0,0.0,,190.0,18.4,,1015.4,,7.0
2024-07-21 21:00:00,2024-07-21,21:00:00,6000,160,30,0,0,870,870,27.2,22.2,74.0,0.0,,180.0,11.2,,1015.6,,7.0
2024-07-21 22:00:00,2024-07-21,22:00:00,6000,160,30,0,1044,0,1044,27.2,22.2,74.0,0.2,,180.0,11.2,,1015.6,,7.0
2024-07-21 23:00:00,2024-07-21,23:00:00,6000,160,30,0,558,0,558,23.9,22.2,90.0,0.8,,160.0,11.2,,1017.0,,7.0
2024-07-22 00:00:00,2024-07-22,00:00:00,6000,160,30,0,462,0,462,23.9,22.2,90.0,0.0,,160.0,11.2,,1017.0,,7.0
2024-07-22 01:00:00,2024-07-22,01:00:00,6000,160,30,0,467,0,467,22.8,21.1,90.0,0.0,,210.0,13.0,,1017.6,,7.0
2024-07-22 02:00:00,2024-07-22,02:00:00,6000,160,30,0,535,0,535,22.8,21.1,90.0,0.0,,210.0,13.0,,1017.6,,7.0
2024-07-22 03:00:00,2024-07-22,03:00:00,6000,160,30,0,412,0,412,22.2,20.7,91.0,0.0,,230.0,5.4,,1018.3,,7.0
2024-07-22 04:00:00,2024-07-22,04:00:00,6000,160,30,0,121,0,121,22.2,20.7,91.0,0.0,,190.0,7.6,,1017.9,,7.0
2024-07-22 05:00:00,2024-07-22,05:00:00,6000,160,30,0,281,0,281,22.2,20.7,91.0,0.0,,190.0,5.4,,1017.4,,4.0
2024-07-22 06:00:00,2024-07-22,06:00:00,6000,160,30,0,319,0,319,22.2,20.7,91.0,0.0,,280.0,5.4,,1016.9,,4.0
2024-07-22 07:00:00,2024-07-22,07:00:00,6000,160,30,40,288,0,328,22.0,20.5,91.0,3.9,,240.0,7.0,,1018.0,,4.0
2024-07-22 08:00:00,2024-07-22,08:00:00,6000,160,30,59,3,0,62,22.2,20.7,91.0,0.0,,280.0,9.4,,1016.3,,4.0
2024-07-22 09:00:00,2024-07-22,09:00:00,6000,160,30,373,-1,-185,187,22.8,20.5,87.0,1.0,,0.0,0.0,,1016.6,,4.0
2024-07-22 10:00:00,2024-07-22,10:00:00,6000,160,30,1044,1,-985,60,22.8,20.5,87.0,0.0,,280.0,5.4,,1017.0,,4.0
2024-07-22 11:00:00,2024-07-22,11:00:00,6000,160,30,1715,0,-1534,181,23.0,20.7,87.0,0.0,,218.0,7.4,,1018.0,,4.0
2024-07-22 12:00:00,2024-07-22,12:00:00,6000,160,30,352,-110,449,691,23.3,21.2,88.0,0.0,,300.0,7.6,,1019.0,,4.0
2024-07-22 13:00:00,2024-07-22,13:00:00,6000,160,30,2154,181,-1853,482,24.4,21.1,82.0,0.0,,200.0,5.4,,1018.2,,4.0
